iter	RMSE
605	0.3965596483
606	0.3961049617
607	0.3957565186
608	0.3953382925
609	0.3948876783
610	0.3945212541
611	0.3940965859
612	0.393855184
613	0.3932773026
614	0.3931615498
615	0.3926951368
616	0.3925707719
617	0.3923089485
618	0.3919585832
619	0.3914986998
620	0.3911291458
621	0.3906497911
622	0.3904493388
623	0.3900811134
624	0.3896676734
625	0.3893133553
626	0.3890103142
627	0.3886733938
628	0.388424009
629	0.3880543713
630	0.3877007311
631	0.3874062654
632	0.3870451767
633	0.3865727889
634	0.3861631609
635	0.3857613808
636	0.3854288171
637	0.3851834652
638	0.3848086236
639	0.3844298009
640	0.3841217811
641	0.3838895704
642	0.3834363483
643	0.3831660679
644	0.3827787582
645	0.3825537196
646	0.3824128997
647	0.3823629921
648	0.3819873642
649	0.3818372897
650	0.3818089078
651	0.3815037333
652	0.3813114669
653	0.3812624458
654	0.3809714829
655	0.380786679
656	0.3804713529
657	0.380279507
658	0.3798787623
659	0.3796495284
660	0.379217473
661	0.3790006145
662	0.3786595104
663	0.3783814123
664	0.3781937265
665	0.3779600445
666	0.3776944503
667	0.3774402115
668	0.3770653512
669	0.3765351
670	0.3763327769
671	0.3757507804
672	0.3755325502
673	0.3752355698
674	0.3750622503
675	0.3748692563
676	0.3746914467
677	0.3744574972
678	0.374134253
679	0.3739951509
680	0.3737936723
681	0.3733824178
682	0.372904038
683	0.3726515102
684	0.3722499146
685	0.3719625872
686	0.3717325922
687	0.3714297135
688	0.3712709199
689	0.3710032339
690	0.3709042748
691	0.3706371051
692	0.3704912533
693	0.3704189621
694	0.3701892902
695	0.3699158291
696	0.3695190531
697	0.3695063871
698	0.3693974464
699	0.3693760961
700	0.3692759152
701	0.3691494505
702	0.3690972119
703	0.3687862534
704	0.3685289196
705	0.3682626571
706	0.3679218028
707	0.367710124
708	0.3675315049
709	0.3671895874
710	0.3668866287
711	0.3668621512
712	0.3664881271
713	0.3661968817
714	0.3658305752
715	0.3655717227
716	0.3651790061
717	0.3648579939
718	0.3646650863
719	0.3643090145
720	0.3643014443
721	0.3639687835
722	0.3639632796
723	0.3639547623
724	0.3634700142
725	0.3634641301
726	0.3632274042
727	0.3628949747
728	0.3624778843
729	0.362310011
730	0.3620979757
731	0.3619694019
732	0.3616962279
733	0.361297127
734	0.3609659953
735	0.3606799418
736	0.3603864233
737	0.3600937706
738	0.360087265
739	0.3595612804
740	0.3592452784
741	0.3589516
742	0.358657623
743	0.3583190517
744	0.3578894031
745	0.3576792236
746	0.3574888636
747	0.3573330688
748	0.3570349132
749	0.3566947107
750	0.3565111152
751	0.3561263888
752	0.3557699241
753	0.3555901939
754	0.35539464
755	0.3550436567
756	0.3545810406
757	0.3545726355
758	0.3542806277
759	0.353947661
760	0.3538128889
761	0.3534272399
762	0.3531635373
763	0.3528354859
764	0.3524075722
765	0.3522389937
766	0.3519956379
767	0.351754441
768	0.3514360121
769	0.3512432144
770	0.3512329916
771	0.3510420511
772	0.3510047882
773	0.3508903773
774	0.3506524697
775	0.3502074631
776	0.3500399868
777	0.3498304645
778	0.3496350761
779	0.3493700706
780	0.3492321537
781	0.3492153527
782	0.3490747042
783	0.3488398467
784	0.3486434889
785	0.348195794
786	0.3478758988
787	0.3474574441
788	0.3471162639
789	0.3469277213
790	0.3467522173
791	0.3464799558
792	0.3464485566
793	0.3463036506
794	0.3459953694
795	0.3459469753
796	0.3456356676
797	0.3452188576
798	0.344953387
799	0.3448600965
800	0.3445873067
801	0.3443917247
802	0.3442695173
803	0.344067199
804	0.3436612738
805	0.3434455955
806	0.343281912
807	0.3429983799
808	0.34266258
809	0.3422304599
810	0.341921292
811	0.3419168785
812	0.3419043242
813	0.3416560783
814	0.3416487572
815	0.3414816752
816	0.3411711013
817	0.340906547
818	0.3406309712
819	0.3404349431
820	0.3401416218
821	0.3396667481
822	0.3394004769
823	0.3391820254
824	0.3390006344
825	0.338656644
826	0.3385395858
827	0.3382382988
828	0.3379796864
829	0.3378051182
830	0.3373900753
831	0.3370721655
832	0.3368368267
833	0.3367976373
834	0.3365777091
835	0.3363097384
836	0.3361075733
837	0.3357493007
838	0.335697909
839	0.3354174916
840	0.3351908343
841	0.3349222497
842	0.3344333967
843	0.334094971
844	0.3339501749
845	0.3339334242
846	0.3337263133
847	0.3337208772
848	0.3335436204
849	0.3332738832
850	0.3330858925
851	0.3327588225
852	0.332303282
853	0.3320659965
854	0.3318310388
855	0.3317274941
856	0.3313658609
857	0.3310648373
858	0.3310593215
859	0.330901069
860	0.3305897355
861	0.3302045386
862	0.3301999212
863	0.3299778698
864	0.3298200815
865	0.3296368585
866	0.3296320398
867	0.3293330145
868	0.3290219268
869	0.3287825592
870	0.3285798493
871	0.3282425989
872	0.327910157
873	0.3275429962
874	0.3272676988
875	0.3269583158
876	0.3266724144
877	0.3263429139
878	0.3260958852
879	0.3256241356
880	0.3253273588
881	0.3251324054
882	0.3248691746
883	0.3246804085
884	0.3244618611
885	0.3242094443
886	0.3240082858
887	0.3237624309
888	0.3236524876
889	0.3234696771
890	0.3234636535
891	0.3231350987
892	0.3229007635
893	0.3225575192
894	0.3225501547
895	0.3222824573
896	0.3218701352
897	0.3216729644
898	0.321369476
899	0.3212226895
900	0.3209387678
901	0.3207047398
902	0.3205100516
903	0.3202361798
904	0.3201143199
905	0.3197700229
906	0.3194846484
907	0.3192568144
908	0.3189864743
909	0.3187179252
910	0.3185153466
911	0.3183603529
912	0.3181101924
913	0.317902418
914	0.3177363686
915	0.3177176944
916	0.3177136507
917	0.3175324771
918	0.3172922825
919	0.3171023792
920	0.3167206796
921	0.3165418004
922	0.3161984052
923	0.3158319785
924	0.3153867186
925	0.3150686598
926	0.3147856052
927	0.3145935632
928	0.3143550545
929	0.3141408001
930	0.3139474294
931	0.3136895794
932	0.3133848813
933	0.3132068151
934	0.3130153692
935	0.3128395022
936	0.3124758301
937	0.3123377618
938	0.3119945026
939	0.3118548443
940	0.3116685557
941	0.3113658577
942	0.3109548856
943	0.3106518086
944	0.3104038452
945	0.3101340038
946	0.309931797
947	0.3097082404
948	0.3095590838
949	0.3090719901
950	0.3089331718
951	0.3087963552
952	0.3086016676
953	0.3083817484
954	0.30804552
955	0.3077520937
956	0.3076493199
957	0.3073991028
958	0.3071448394
959	0.3070506527
960	0.3067240107
961	0.3064074083
962	0.3061118483
963	0.3057860659
964	0.3055555944
965	0.3052369201
966	0.3050119718
967	0.3046574518
968	0.3043585898
969	0.304351756
970	0.3040056005
971	0.3038684963
972	0.3037175414
973	0.3035191838
974	0.3032653529
975	0.3030888781
976	0.302885401
977	0.3025536587
978	0.3021010139
979	0.3017480852
980	0.3015883275
981	0.3014419732
982	0.3012435008
983	0.3009903244
984	0.300651998
985	0.3004702594
986	0.3003157995
987	0.3000237151
988	0.2997390803
989	0.2993626753
990	0.2990992537
991	0.2988128739
992	0.2986197797
993	0.2984262866
994	0.2980886793
995	0.2979003673
996	0.297889485
997	0.2977376265
998	0.2976103604
999	0.297393829
99	0.2736305491
