iter	Passed	Remaining
256	1546	4472
257	1552	4464
258	1558	4459
259	1568	4465
260	1573	4455
261	1579	4449
262	1584	4440
263	1589	4432
264	1597	4430
265	1601	4420
266	1608	4416
267	1613	4407
268	1619	4400
269	1623	4389
270	1628	4380
271	1634	4373
272	1638	4363
273	1644	4356
274	1650	4350
275	1655	4341
276	1660	4333
277	1665	4325
278	1670	4317
279	1675	4309
280	1681	4303
281	1687	4296
282	1693	4290
283	1700	4287
284	1706	4280
285	1711	4271
286	1716	4265
287	1722	4259
288	1728	4252
289	1734	4245
290	1739	4239
291	1744	4230
292	1749	4221
293	1754	4212
294	1758	4203
295	1764	4195
296	1770	4190
297	1775	4182
298	1780	4175
299	1788	4172
300	1792	4163
301	1797	4154
302	1802	4147
303	1807	4139
304	1813	4132
305	1818	4124
306	1824	4117
307	1829	4110
308	1837	4109
309	1842	4101
310	1853	4106
311	1857	4095
312	1863	4091
313	1869	4083
314	1875	4078
315	1890	4091
316	1905	4105
317	1919	4116
318	1935	4131
319	1950	4144
320	1967	4161
321	1980	4171
322	1997	4186
323	2009	4193
324	2020	4195
325	2035	4208
326	2050	4219
327	2058	4217
328	2066	4215
329	2072	4208
330	2078	4201
331	2091	4207
332	2113	4233
333	2124	4237
334	2131	4230
335	2137	4224
336	2145	4220
337	2150	4211
338	2155	4202
339	2160	4194
340	2166	4186
341	2172	4179
342	2177	4171
343	2184	4166
344	2189	4157
345	2194	4148
346	2200	4141
347	2205	4132
348	2211	4125
349	2217	4119
350	2224	4113
351	2230	4105
352	2236	4098
353	2242	4091
354	2247	4083
355	2251	4073
356	2257	4066
357	2263	4059
358	2272	4056
359	2280	4054
360	2286	4047
361	2292	4040
362	2299	4035
363	2306	4029
364	2312	4023
365	2319	4017
366	2324	4009
367	2330	4001
368	2336	3995
369	2341	3987
370	2347	3980
371	2353	3973
372	2359	3966
373	2366	3960
374	2371	3953
375	2381	3951
376	2387	3944
377	2392	3937
378	2398	3929
379	2403	3920
380	2410	3916
381	2416	3909
382	2421	3901
383	2427	3893
384	2432	3886
385	2438	3878
386	2443	3871
387	2450	3864
388	2455	3856
389	2461	3850
390	2467	3842
391	2472	3835
392	2476	3825
393	2482	3818
394	2488	3811
395	2494	3804
396	2499	3796
397	2505	3789
398	2511	3782
399	2516	3774
400	2521	3767
401	2527	3760
402	2532	3751
403	2536	3742
404	2544	3738
405	2549	3730
406	2555	3723
407	2561	3716
408	2566	3707
409	2571	3700
410	2577	3693
411	2583	3686
412	2588	3679
413	2594	3672
414	2599	3665
415	2604	3656
416	2609	3648
417	2613	3639
418	2618	3631
419	2624	3624
420	2629	3616
421	2635	3609
422	2640	3601
423	2645	3593
424	2650	3585
425	2655	3578
426	2660	3570
427	2666	3563
428	2672	3557
429	2679	3552
430	2686	3546
431	2693	3541
432	2698	3533
433	2704	3527
434	2709	3519
435	2713	3510
436	2718	3502
437	2723	3494
438	2727	3486
439	2732	3477
440	2738	3470
441	2745	3465
442	2750	3458
443	2756	3451
444	2760	3443
445	2766	3436
446	2772	3430
447	2779	3424
448	2786	3419
449	2791	3412
450	2797	3405
451	2804	3400
452	2810	3393
453	2818	3389
454	2824	3383
455	2833	3380
456	2837	3371
457	2843	3365
458	2851	3361
459	2856	3353
460	2861	3345
461	2866	3338
462	2871	3330
463	2877	3323
464	2882	3316
465	2888	3310
466	2893	3302
467	2898	3295
468	2902	3286
469	2906	3277
470	2913	3272
471	2919	3265
472	2924	3258
473	2930	3251
474	2935	3244
475	2939	3236
476	2945	3229
477	2951	3223
478	2957	3217
479	2965	3212
480	2971	3205
481	2977	3199
482	2982	3192
483	2987	3184
484	2993	3178
485	2998	3171
486	3004	3164
487	3011	3159
488	3015	3151
489	3021	3144
490	3027	3138
491	3032	3131
492	3037	3123
493	3042	3116
494	3048	3110
495	3054	3103
496	3059	3096
497	3064	3089
498	3070	3083
499	3075	3075
500	3081	3069
501	3087	3062
502	3093	3056
503	3101	3052
504	3106	3044
505	3112	3038
506	3118	3031
507	3123	3025
508	3128	3017
509	3134	3011
510	3141	3006
511	3145	2998
512	3150	2991
513	3157	2985
514	3162	2978
515	3168	2971
516	3173	2964
517	3178	2957
518	3183	2950
519	3189	2944
520	3194	2937
521	3199	2930
522	3204	2922
523	3209	2915
524	3216	2910
525	3221	2903
526	3226	2895
527	3235	2892
528	3241	2885
529	3247	2880
530	3252	2873
531	3258	2866
532	3263	2859
533	3269	2853
534	3274	2845
535	3280	2839
536	3286	2833
537	3292	2827
538	3297	2820
539	3303	2813
540	3309	2807
541	3315	2801
542	3322	2795
543	3327	2789
544	3333	2782
545	3339	2776
546	3344	2769
547	3350	2763
548	3356	2756
549	3361	2750
550	3369	2745
551	3375	2739
552	3379	2732
553	3384	2725
554	3392	2720
555	3397	2713
556	3401	2705
557	3409	2700
558	3415	2694
559	3423	2690
560	3436	2689
561	3445	2685
562	3452	2679
563	3463	2677
564	3467	2669
565	3476	2665
566	3484	2660
567	3494	2657
568	3498	2650
569	3505	2644
570	3512	2638
571	3520	2634
572	3527	2628
573	3534	2623
574	3541	2617
575	3546	2610
576	3553	2604
577	3558	2598
578	3563	2591
579	3570	2585
580	3578	2580
581	3586	2575
582	3591	2568
583	3596	2561
584	3602	2555
585	3608	2549
586	3613	2542
587	3619	2536
588	3625	2529
589	3631	2523
590	3643	2521
591	3654	2518
592	3658	2511
593	3665	2505
594	3670	2498
595	3675	2491
596	3682	2485
597	3687	2479
598	3694	2473
599	3702	2468
600	3708	2461
601	3718	2458
602	3723	2451
603	3733	2447
604	3740	2442
605	3747	2436
606	3754	2430
607	3763	2426
608	3768	2419
609	3776	2414
610	3782	2407
611	3790	2402
612	3796	2396
613	3807	2393
614	3813	2387
615	3825	2384
616	3831	2378
617	3835	2370
618	3846	2367
619	3853	2362
620	3862	2357
621	3867	2350
622	3878	2347
623	3889	2343
624	3899	2339
625	3908	2334
626	3913	2328
627	3920	2322
628	3925	2315
629	3934	2311
630	3942	2305
631	3948	2299
632	3957	2294
633	3962	2287
634	3970	2281
635	3976	2275
636	3981	2268
637	3986	2261
638	3991	2254
639	3995	2247
640	4002	2241
641	4007	2234
642	4011	2227
643	4021	2223
644	4025	2215
645	4029	2208
646	4036	2202
647	4040	2194
648	4044	2187
649	4051	2181
650	4055	2174
651	4060	2167
652	4068	2162
653	4073	2154
654	4077	2147
655	4084	2141
656	4088	2134
657	4092	2127
658	4102	2123
659	4107	2115
660	4113	2109
661	4118	2102
662	4125	2096
663	4132	2091
664	4136	2083
665	4147	2079
666	4152	2073
667	4156	2065
668	4163	2059
669	4167	2052
670	4172	2046
671	4178	2039
672	4182	2032
673	4189	2026
674	4198	2021
675	4211	2018
676	4219	2013
677	4227	2007
678	4233	2001
679	4241	1996
680	4247	1989
681	4251	1982
682	4259	1976
683	4264	1969
684	4269	1963
685	4277	1957
686	4281	1950
687	4287	1944
688	4294	1938
689	4298	1931
690	4304	1924
691	4309	1917
692	4313	1910
693	4317	1903
694	4324	1897
695	4328	1890
696	4333	1883
697	4339	1877
698	4343	1870
699	4351	1865
700	4357	1858
701	4361	1851
702	4366	1844
703	4372	1838
704	4376	1831
705	4381	1824
706	4388	1818
707	4393	1811
708	4402	1806
709	4410	1801
710	4415	1794
711	4420	1787
712	4424	1781
713	4428	1773
714	4434	1767
715	4440	1761
716	4444	1754
717	4451	1748
718	4456	1741
719	4461	1734
720	4467	1728
721	4472	1722
722	4477	1715
723	4485	1710
724	4492	1703
725	4497	1697
726	4502	1690
727	4509	1684
728	4518	1679
729	4523	1673
730	4531	1667
731	4535	1660
732	4541	1654
733	4548	1648
734	4552	1641
735	4556	1634
736	4562	1628
737	4566	1621
738	4570	1614
739	4575	1607
740	4581	1601
741	4585	1594
742	4591	1588
743	4598	1582
744	4604	1576
745	4615	1571
746	4624	1566
747	4631	1560
748	4637	1553
749	4645	1548
750	4651	1542
751	4659	1536
752	4666	1530
753	4679	1526
754	4684	1520
755	4689	1513
756	4696	1507
757	4702	1501
758	4710	1495
759	4715	1489
760	4725	1484
761	4729	1477
762	4738	1471
763	4742	1464
764	4756	1461
765	4761	1454
766	4769	1448
767	4774	1442
768	4780	1435
769	4785	1429
770	4791	1423
771	4803	1418
772	4810	1412
773	4818	1406
774	4823	1400
775	4828	1393
776	4837	1388
777	4843	1382
778	4853	1376
779	4860	1370
780	4869	1365
781	4873	1358
782	4883	1353
783	4888	1346
784	4897	1341
785	4902	1334
786	4907	1328
787	4915	1322
788	4921	1316
789	4928	1310
790	4935	1303
791	4952	1300
792	4958	1294
793	4966	1288
794	4978	1283
795	4987	1278
796	4993	1271
797	5004	1266
798	5011	1260
799	5018	1254
800	5024	1248
801	5031	1242
802	5036	1235
803	5043	1229
804	5051	1223
805	5058	1217
806	5064	1211
807	5070	1204
808	5076	1198
809	5082	1192
810	5089	1186
811	5094	1179
812	5102	1173
813	5108	1167
814	5117	1161
815	5123	1155
816	5128	1148
817	5135	1142
818	5140	1136
819	5147	1129
820	5152	1123
821	5157	1116
822	5164	1110
823	5169	1104
824	5175	1097
825	5181	1091
826	5185	1084
827	5191	1078
828	5196	1071
829	5200	1065
830	5206	1058
831	5211	1052
832	5215	1045
833	5221	1039
834	5227	1032
835	5232	1026
836	5236	1019
837	5240	1013
838	5246	1006
839	5250	1000
840	5255	993
841	5260	987
842	5264	980
843	5268	973
844	5274	967
845	5278	960
846	5282	954
847	5288	947
848	5293	941
849	5297	934
850	5302	928
851	5306	921
852	5311	915
853	5316	908
854	5322	902
855	5326	896
856	5331	889
857	5334	882
858	5339	876
859	5343	869
860	5348	863
861	5353	857
862	5357	850
863	5362	844
864	5367	837
865	5372	831
866	5376	824
867	5381	818
868	5386	812
869	5390	805
870	5394	799
871	5399	792
872	5403	786
873	5407	779
874	5412	773
875	5417	766
876	5421	760
877	5425	753
878	5430	747
879	5435	741
880	5439	734
881	5444	728
882	5448	721
883	5453	715
884	5457	709
885	5462	702
886	5466	696
887	5471	690
888	5474	683
889	5478	677
890	5483	670
891	5488	664
892	5494	658
893	5499	652
894	5505	645
895	5509	639
896	5513	633
897	5519	626
898	5523	620
899	5527	614
900	5531	607
901	5535	601
902	5540	595
903	5544	588
904	5548	582
905	5552	576
906	5557	569
907	5562	563
908	5566	557
909	5570	550
910	5576	544
911	5580	538
912	5585	532
913	5589	525
914	5594	519
915	5598	513
916	5602	507
917	5608	500
918	5612	494
919	5616	488
920	5620	482
921	5624	475
922	5628	469
923	5632	463
924	5636	457
925	5641	450
926	5646	444
927	5650	438
928	5653	432
929	5658	425
930	5662	419
931	5666	413
932	5669	407
933	5673	400
934	5677	394
935	5682	388
936	5686	382
937	5690	376
938	5696	370
939	5701	363
940	5708	357
941	5713	351
942	5722	345
943	5727	339
944	5731	333
945	5738	327
946	5744	321
947	5749	315
948	5755	309
949	5760	303
950	5764	296
951	5770	290
952	5774	284
953	5779	278
954	5786	272
955	5792	266
956	5796	260
957	5802	254
958	5807	248
959	5811	242
960	5816	236
961	5821	229
962	5825	223
963	5831	217
964	5847	212
965	5853	206
966	5857	199
967	5862	193
968	5866	187
969	5871	181
970	5876	175
971	5882	169
972	5886	163
973	5890	157
974	5896	151
975	5900	145
976	5905	139
977	5910	132
978	5914	126
979	5919	120
980	5923	114
981	5928	108
982	5933	102
983	5937	96
984	5942	90
985	5946	84
986	5952	78
987	5956	72
988	5960	66
989	5964	60
990	5968	54
991	5973	48
992	5977	42
993	5981	36
994	5985	30
995	5990	24
996	5994	18
997	5999	12
998	6005	6
999	6011	0
